INFLOWS,OUTFLOWS,debt_outflows,di_outflows,debt_inflows,di_inflows,equity_outflows,equity_inflows,portfolio_outflows,portfolio_inflows,reserve_flows,NETFLOWS,GPRC,GPRHC
4.486899852752686,4.463500022888184,0.7948,0.4319,1.1839,1.1805,0.0571,0.415,0.852,1.5989,2.4082,0.02339982986450195,0.04643227408329647,0.05885698273777976
2.803600072860718,0.4997999966144562,0.1232,0.1598,1.3231,1.3241,0.1297,0.0573,0.2529,1.3803,0.3167,2.303800106048584,0.016796765538553398,0.0136879573886593
8.08240032196045,2.132400035858154,0.3531,0.4078,2.2407,2.1104,0.1726,0.443,0.5257000000000001,2.6837,3.1279,5.950000286102295,0.015572903367380299,0.012879848014563334
4.046299934387207,0.4275999963283539,-0.2327,0.3014,3.2312,1.4043,0.2823,0.6146,0.04960000000000001,3.8458,0.1312,3.61870002746582,0.015372669013837966,0.0034478002538283667
3.271600008010864,1.517400026321411,0.5579,0.8465,2.2247,1.4597,0.1982,0.4741,0.7561,2.6987,1.2734,1.754199981689453,0.020949885559578732,0.013349312978486199
5.971199989318848,3.87310004234314,0.6285000000000001,0.0455,2.7997,1.6713,0.08,-0.5283,0.7085,2.2715,-0.4259,2.098099946975708,0.021160741026202867,0.013450164968768767
7.499800205230713,3.3889000415802,0.8338,0.4074,2.8523,2.4132,0.0331,0.3069,0.8669,3.1592,2.8964,4.110899925231934,0.0263563959548871,0.017319313560922932
6.298999786376953,2.762200117111206,0.0329,1.0441,4.2489,1.543,0.3654,0.4669,0.3983,4.715800000000001,-0.2707,3.536799669265747,0.011873234839489035,0.010346771528323466
5.547599792480469,3.656300067901611,-0.0053,1.1237,1.7625,2.1287,0.1761,0.0911,0.1708,1.8536,1.5487,1.891299724578857,0.021228996493543165,0.030027377108732867
10.03549957275391,5.128399848937988,0.121,0.8128,2.7658,2.4642,0.384,1.8733,0.505,4.639100000000001,-0.3734,4.907099723815918,0.011283539235591868,0.009660063621898434
8.1318998336792,0.7925999760627747,0.5839,0.6723,1.4983,3.0244,-0.0876,-0.112,0.4963,1.3864,2.3884,7.33929967880249,0.04070287384092807,0.050371181219816236
8.66670036315918,5.577099800109863,0.7421000000000001,0.9758,3.4365,1.45,0.586,0.5621,1.3282,3.9987,-0.8287000000000001,3.089600563049316,0.023373503858844468,0.01673498625556623
6.906799793243408,2.477999925613403,1.3063,0.3833,4.4678,1.7685,0.0391,-0.4998,1.3454,3.968,1.4335,4.428799629211426,0.0368972197175026,0.0190063739816348
6.952000141143799,1.157799959182739,0.381,0.8595,2.8448,2.4604,0.234,-0.06570000000000001,0.6149,2.7791,1.1057,5.79419994354248,0.028406067751348033,0.027889075999458668
0.8149999976158142,-4.808199882507324,-1.3624,0.107,0.1538,1.6118,-0.0206,-0.2062,-1.3829,-0.0524,1.7255,5.623199939727783,0.04353942101200423,0.03699016757309437
6.407999992370605,3.511399984359741,0.8482000000000001,1.0744,0.7682000000000001,4.4632,0.0569,-0.09559999999999999,0.9051,0.6726000000000001,-1.03,2.896600008010864,0.0265021715313196,0.021400320964554933
5.64709997177124,3.030100107192993,0.5997,0.4,2.8746,14.6643,-0.7757000000000001,-10.5459,-0.176,-7.6713,-0.0326,2.616999864578247,0.014274618588387966,0.008097927706936967
2.956099987030029,1.774099946022034,0.0171,0.3821000000000001,0.0849,3.1185,0.2391,-0.3098,0.2562,-0.2249,-1.7795,1.182000041007996,0.029783645644784,0.03387097269296647
6.034900188446045,-1.717599987983704,0.7077000000000001,-0.1262,2.2654,1.7416,0.3124,0.1787,1.0201,2.4441,4.028300000000001,7.752500057220459,0.020173363077143833,0.0188807692999641
2.856600046157837,-1.052099943161011,0.7997000000000001,0.263,2.4443,2.2719,0.5366000000000001,0.2816,1.3363,2.7259,-0.4292,3.908699989318848,0.011891015650083601,0.013581842339287166
2.524899959564209,2.229300022125244,-0.7743,0.2955,1.369,1.1821,0.2519,-0.094,-0.5224,1.275,1.0381,0.2955999374389648,0.020126213630040433,0.03009348486860593
6.176700115203857,3.346100091934204,0.0675,0.1118,-0.2535,6.2585,0.612,-3.4568,0.6794,-3.7103,-2.1424,2.830600023269653,0.023091950143377,0.023414435796439634
-0.1845999956130981,-1.002599954605103,-0.2959,0.2307,-1.6641,0.7058,0.05470000000000001,0.042,-0.2412,-1.622,1.1302,0.8179999589920044,0.018346646490196402,0.027552836885054898
-0.135000005364418,2.37089991569519,-0.2428,0.2919,-2.6903,1.8543,0.058,0.03,-0.1848,-2.6603,-3.8814,-2.505899906158447,0.017426957997182968,0.0176612287759781
-2.005899906158447,-2.66700005531311,-0.4192,0.2174,-1.597,0.9502999999999999,0.0825,-0.0347,-0.3368,-1.6317,-1.4422,0.6611001491546631,0.0129344517675539,0.0050863406310479005
-3.674999952316284,3.871500015258789,-0.6771,-0.1919,-2.9253,0.4301,-0.1375,-0.0691,-0.8146,-2.9944,-0.2977,-7.546500205993652,0.05569583736360073,0.05059630206475666
-7.299300193786621,-1.719799995422363,0.1966,-0.1566,-2.5338,-1.0686,0.9276000000000001,0.105,1.1243,-2.4288,-6.4487,-5.579500198364258,0.0990206152200697,0.0603003005186717
-3.398099899291992,0.9287999868392944,-0.4793,-0.3294,-2.2589,1.4252,-0.0031,0.0039,-0.4825,-2.255,-2.1898,-4.326900005340576,0.09783727427323667,0.0578114204108715
-3.522700071334839,3.422899961471558,-0.0134,0.1567,-1.2203,0.3662,-0.005099999999999999,0.0182,-0.0185,-1.2021,-3.1279,-6.945600032806396,0.041577962537606566,0.038144505272309
-2.684900045394897,1.736700057983398,0.0132,-0.4488,0.1427,-0.9244,-0.007,-0.012,0.006200000000000001,0.1307,-0.2143,-4.421600341796875,0.04291555657982826,0.03464135465522607
-3.286999940872192,1.703999996185303,0.0156,-0.0056,-1.6648,1.282,0.0023,-0.1259,0.0179,-1.7908,1.006,-4.991000175476074,0.04465794314940771,0.0384508737673362
-1.317700028419495,2.483500003814697,0.014,0.2451,-2.0369,0.1847,0.0012,0.049,0.0152,-1.9879,0.0724,-3.801199913024902,0.060963466763496434,0.03909314113358656
-2.99810004234314,1.32260000705719,0.015,0.2411,-2.135,-0.1227,0.0153,0.02,0.0303,-2.115,1.6246,-4.320700168609619,0.041948122282822936,0.040097308034698166
-2.067800045013428,0.01389999967068434,0.0159,0.0916,-0.4973,-0.2077,0.0079,-0.0678,0.0238,-0.5650000000000001,1.2244,-2.081700086593628,0.03821057453751563,0.03264801281814773
-4.207699775695801,1.448500037193298,0.0164,0.196,-3.0592,1.7976,0.0095,0.06409999999999999,0.0259,-2.995,0.5760000000000001,-5.656199932098389,0.022171024543543666,0.0118131274357438
-3.656599998474121,1.164000034332275,-0.047,-0.0076,-3.755,1.5167,0.0613,-0.0607,0.0143,-3.8157,0.8839,-4.820600032806396,0.02860500539342563,0.019519838194052366
-0.3368000090122223,0.5249000191688538,0.0168,0.221,-1.132,0.92,0.004900000000000001,0.0326,0.0217,-1.0995,2.5826,-0.8617000579833984,0.014815796477099267,0.024765835764507468
-1.718700051307678,0.8883000016212463,0.0179,0.2384,-2.2125,1.0114,-0.0002,-0.0119,0.0178,-2.2244,0.7176,-2.607000112533569,0.022065081323186533,0.021892818311850203
-2.08080005645752,0.5223000049591064,0.0168,0.2243,-2.1532,0.6767000000000001,0.006200000000000001,-0.0462,0.023,-2.1993,1.0985,-2.603100061416626,0.0203942721709609,0.010091146764655933
-2.604199886322021,0.5396999716758728,0.0174,0.2488,-3.1012,1.294,0.001,-0.0033,0.0184,-3.1046,0.8786,-3.143899917602539,0.018796184721092398,0.01979681104421613
1.258499979972839,-0.8120999932289124,-1.3941,0.0603,-0.729,2.1602,0.0055,-0.0346,-1.3885,-0.7636000000000001,3.0187,2.070600032806396,0.017928294837474833,0.012083558210482168
0.3996999859809875,-1.470700025558472,0.017,0.8065,0.9913,0.7473,-0.004099999999999999,-0.0678,0.0129,0.9236000000000001,2.6196,1.870399951934814,0.020368158817291267,0.020098631891111534
0.8389000296592712,-0.3185999989509583,-0.013,0.1956,1.1562,1.0637,0.0019,0.05760000000000001,-0.0111,1.2138,2.5714,1.157500028610229,0.024246774303416402,0.020011556800454865
